"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","2011","2011","17 years","17",,,2010,4330851,46.4
,"2011","2011","18 years","18","Female","F",694,2131424,32.6
,"2011","2011","18 years","18","Male","M",2049,2264743,90.5
"Total","2011","2011","18 years","18",,,2743,4396167,62.4
,"2011","2011","19 years","19","Female","F",806,2194869,36.7
,"2011","2011","19 years","19","Male","M",2484,2319841,107.1
"Total","2011","2011","19 years","19",,,3290,4514710,72.9
,"2011","2011","20 years","20","Female","F",837,2246908,37.3
,"2011","2011","20 years","20","Male","M",2567,2349205,109.3
"Total","2011","2011","20 years","20",,,3404,4596113,74.1
,"2011","2011","21 years","21","Female","F",987,2247169,43.9
,"2011","2011","21 years","21","Male","M",2875,2345167,122.6
"Total","2011","2011","21 years","21",,,3862,4592336,84.1
,"2011","2011","22 years","22","Female","F",959,2157940,44.4
,"2011","2011","22 years","22","Male","M",3021,2253092,134.1
"Total","2011","2011","22 years","22",,,3980,4411032,90.2
,"2011","2011","23 years","23","Female","F",1011,2110849,47.9
,"2011","2011","23 years","23","Male","M",2965,2200911,134.7
"Total","2011","2011","23 years","23",,,3976,4311760,92.2
,"2011","2011","24 years","24","Female","F",973,2078266,46.8
,"2011","2011","24 years","24","Male","M",2878,2164325,133.0
"Total","2011","2011","24 years","24",,,3851,4242591,90.8
,"2011","2011","25 years","25","Female","F",1108,2094272,52.9
,"2011","2011","25 years","25","Male","M",2904,2173555,133.6
"Total","2011","2011","25 years","25",,,4012,4267827,94.0
,"2011","2011","26 years","26","Female","F",1154,2123489,54.3
,"2011","2011","26 years","26","Male","M",2946,2187766,134.7
"Total","2011","2011","26 years","26",,,4100,4311255,95.1
,"2011","2011","27 years","27","Female","F",1113,2068944,53.8
,"2011","2011","27 years","27","Male","M",2875,2112504,136.1
"Total","2011","2011","27 years","27",,,3988,4181448,95.4
,"2011","2011","28 years","28","Female","F",1172,2111172,55.5
,"2011","2011","28 years","28","Male","M",2942,2144514,137.2
"Total","2011","2011","28 years","28",,,4114,4255686,96.7
,"2011","2011","29 years","29","Female","F",1333,2120402,62.9
,"2011","2011","29 years","29","Male","M",3025,2143176,141.1
"Total","2011","2011","29 years","29",,,4358,4263578,102.2
,"2011","2011","30 years","30","Female","F",1417,2104748,67.3
,"2011","2011","30 years","30","Male","M",3037,2119768,143.3
"Total","2011","2011","30 years","30",,,4454,4224516,105.4
,"2011","2011","31 years","31","Female","F",1544,2142898,72.1
,"2011","2011","31 years","31","Male","M",3107,2174189,142.9
"Total","2011","2011","31 years","31",,,4651,4317087,107.7
,"2011","2011","32 years","32","Female","F",1552,2021239,76.8
,"2011","2011","32 years","32","Male","M",3111,2031455,153.1
"Total","2011","2011","32 years","32",,,4663,4052694,115.1
,"2011","2011","33 years","33","Female","F",1565,1985773,78.8
,"2011","2011","33 years","33","Male","M",3062,1990264,153.8
"Total","2011","2011","33 years","33",,,4627,3976037,116.4
,"2011","2011","34 years","34","Female","F",1705,1973398,86.4
,"2011","2011","34 years","34","Male","M",3076,1966972,156.4
"Total","2011","2011","34 years","34",,,4781,3940370,121.3
,"2011","2011","35 years","35","Female","F",1696,1916230,88.5
,"2011","2011","35 years","35","Male","M",3061,1911690,160.1
"Total","2011","2011","35 years","35",,,4757,3827920,124.3
,"2011","2011","36 years","36","Female","F",1902,1975873,96.3
,"2011","2011","36 years","36","Male","M",3181,1976826,160.9
"Total","2011","2011","36 years","36",,,5083,3952699,128.6
,"2011","2011","37 years","37","Female","F",1936,1924527,100.6
,"2011","2011","37 years","37","Male","M",3345,1908924,175.2
"Total","2011","2011","37 years","37",,,5281,3833451,137.8
,"2011","2011","38 years","38","Female","F",2194,1963363,111.7
,"2011","2011","38 years","38","Male","M",3653,1935140,188.8
"Total","2011","2011","38 years","38",,,5847,3898503,150.0
,"2011","2011","39 years","39","Female","F",2397,2053005,116.8
,"2011","2011","39 years","39","Male","M",4113,2028731,202.7
"Total","2011","2011","39 years","39",,,6510,4081736,159.5
,"2011","2011","40 years","40","Female","F",2821,2175750,129.7
,"2011","2011","40 years","40","Male","M",4632,2148028,215.6
"Total","2011","2011","40 years","40",,,7453,4323778,172.4
,"2011","2011","41 years","41","Female","F",2960,2197115,134.7
,"2011","2011","41 years","41","Male","M",4856,2187138,222.0
"Total","2011","2011","41 years","41",,,7816,4384253,178.3
,"2011","2011","42 years","42","Female","F",3327,2088504,159.3
,"2011","2011","42 years","42","Male","M",5114,2071160,246.9
"Total","2011","2011","42 years","42",,,8441,4159664,202.9
,"2011","2011","43 years","43","Female","F",3531,2049430,172.3
,"2011","2011","43 years","43","Male","M",5460,2028670,269.1
"Total","2011","2011","43 years","43",,,8991,4078100,220.5
,"2011","2011","44 years","44","Female","F",3914,2060687,189.9
,"2011","2011","44 years","44","Male","M",5800,2027163,286.1
"Total","2011","2011","44 years","44",,,9714,4087850,237.6
,"2011","2011","45 years","45","Female","F",4324,2101047,205.8
,"2011","2011","45 years","45","Male","M",6735,2069751,325.4
"Total","2011","2011","45 years","45",,,11059,4170798,265.2
,"2011","2011","46 years","46","Female","F",5123,2232716,229.5
,"2011","2011","46 years","46","Male","M",7611,2195885,346.6
"Total","2011","2011","46 years","46",,,12734,4428601,287.5
,"2011","2011","47 years","47","Female","F",5592,2286253,244.6
,"2011","2011","47 years","47","Male","M",8896,2231566,398.6
"Total","2011","2011","47 years","47",,,14488,4517819,320.7
,"2011","2011","48 years","48","Female","F",6209,2291974,270.9
,"2011","2011","48 years","48","Male","M",9657,2229381,433.2
"Total","2011","2011","48 years","48",,,15866,4521355,350.9
,"2011","2011","49 years","49","Female","F",6912,2293314,301.4
,"2011","2011","49 years","49","Male","M",10615,2226118,476.8
"Total","2011","2011","49 years","49",,,17527,4519432,387.8
,"2011","2011","50 years","50","Female","F",7584,2329956,325.5
,"2011","2011","50 years","50","Male","M",11747,2251877,521.7
"Total","2011","2011","50 years","50",,,19331,4581833,421.9
,"2011","2011","51 years","51","Female","F",8140,2347996,346.7
,"2011","2011","51 years","51","Male","M",12603,2278457,553.1
"Total","2011","2011","51 years","51",,,20743,4626453,448.4
,"2011","2011","52 years","52","Female","F",8730,2281399,382.7
,"2011","2011","52 years","52","Male","M",13678,2196781,622.6
"Total","2011","2011","52 years","52",,,22408,4478180,500.4
,"2011","2011","53 years","53","Female","F",9094,2274943,399.7
,"2011","2011","53 years","53","Male","M",14602,2183182,668.8
"Total","2011","2011","53 years","53",,,23696,4458125,531.5
,"2011","2011","54 years","54","Female","F",9830,2259358,435.1
,"2011","2011","54 years","54","Male","M",15565,2156249,721.9
"Total","2011","2011","54 years","54",,,25395,4415607,575.1
,"2011","2011","55 years","55","Female","F",10212,2187645,466.8
,"2011","2011","55 years","55","Male","M",16365,2076344,788.2
"Total","2011","2011","55 years","55",,,26577,4263989,623.3
,"2011","2011","56 years","56","Female","F",10407,2173959,478.7
,"2011","2011","56 years","56","Male","M",17542,2058561,852.1
"Total","2011","2011","56 years","56",,,27949,4232520,660.3
,"2011","2011","57 years","57","Female","F",11308,2098676,538.8
,"2011","2011","57 years","57","Male","M",17791,1967413,904.3
"Total","2011","2011","57 years","57",,,29099,4066089,715.7
,"2011","2011","58 years","58","Female","F",11376,2026114,561.5
,"2011","2011","58 years","58","Male","M",18349,1892452,969.6
"Total","2011","2011","58 years","58",,,29725,3918566,758.6
,"2011","2011","59 years","59","Female","F",11840,1953103,606.2
,"2011","2011","59 years","59","Male","M",19082,1821281,1047.7
"Total","2011","2011","59 years","59",,,30922,3774384,819.3
,"2011","2011","60 years","60","Female","F",12231,1903293,642.6
,"2011","2011","60 years","60","Male","M",19768,1761228,1122.4
"Total","2011","2011","60 years","60",,,31999,3664521,873.2
,"2011","2011","61 years","61","Female","F",12871,1861920,691.3
,"2011","2011","61 years","61","Male","M",20051,1722457,1164.1
"Total","2011","2011","61 years","61",,,32922,3584377,918.5
,"2011","2011","62 years","62","Female","F",14066,1815820,774.6
,"2011","2011","62 years","62","Male","M",20897,1671482,1250.2
"Total","2011","2011","62 years","62",,,34963,3487302,1002.6
,"2011","2011","63 years","63","Female","F",15372,1801788,853.2
,"2011","2011","63 years","63","Male","M",22472,1657509,1355.8
"Total","2011","2011","63 years","63",,,37844,3459297,1094.0
,"2011","2011","64 years","64","Female","F",16991,1881617,903.0
,"2011","2011","64 years","64","Male","M",24324,1729478,1406.4
"Total","2011","2011","64 years","64",,,41315,3611095,1144.1
,"2011","2011","65 years","65","Female","F",14478,1400553,1033.7
,"2011","2011","65 years","65","Male","M",20066,1272356,1577.1
"Total","2011","2011","65 years","65",,,34544,2672909,1292.4
,"2011","2011","66 years","66","Female","F",14986,1391276,1077.1
,"2011","2011","66 years","66","Male","M",20755,1251872,1657.9
"Total","2011","2011","66 years","66",,,35741,2643148,1352.2
,"2011","2011","67 years","67","Female","F",16541,1366334,1210.6
,"2011","2011","67 years","67","Male","M",22425,1218210,1840.8
"Total","2011","2011","67 years","67",,,38966,2584544,1507.7
,"2011","2011","68 years","68","Female","F",18091,1406096,1286.6
,"2011","2011","68 years","68","Male","M",24757,1246213,1986.6
"Total","2011","2011","68 years","68",,,42848,2652309,1615.5
,"2011","2011","69 years","69","Female","F",18006,1237599,1454.9
,"2011","2011","69 years","69","Male","M",23370,1083279,2157.3
"Total","2011","2011","69 years","69",,,41376,2320878,1782.8
,"2011","2011","70 years","70","Female","F",18205,1144368,1590.8
,"2011","2011","70 years","70","Male","M",23568,985133,2392.4
"Total","2011","2011","70 years","70",,,41773,2129501,1961.6
,"2011","2011","71 years","71","Female","F",18554,1090731,1701.1
,"2011","2011","71 years","71","Male","M",23663,931609,2540.0
"Total","2011","2011","71 years","71",,,42217,2022340,2087.5
,"2011","2011","72 years","72","Female","F",19650,1031783,1904.5
,"2011","2011","72 years","72","Male","M",24589,879841,2794.7
"Total","2011","2011","72 years","72",,,44239,1911624,2314.2
,"2011","2011","73 years","73","Female","F",20698,1001371,2067.0
,"2011","2011","73 years","73","Male","M",25556,837914,3050.0
"Total","2011","2011","73 years","73",,,46254,1839285,2514.8
,"2011","2011","74 years","74","Female","F",21567,935314,2305.9
,"2011","2011","74 years","74","Male","M",25527,769886,3315.7
"Total","2011","2011","74 years","74",,,47094,1705200,2761.8
,"2011","2011","75 years","75","Female","F",22953,905440,2535.0
,"2011","2011","75 years","75","Male","M",26695,732882,3642.5
"Total","2011","2011","75 years","75",,,49648,1638322,3030.4
,"2011","2011","76 years","76","Female","F",24646,882622,2792.4
,"2011","2011","76 years","76","Male","M",28124,698292,4027.5
"Total","2011","2011","76 years","76",,,52770,1580914,3337.9
,"2011","2011","77 years","77","Female","F",25388,804287,3156.6
,"2011","2011","77 years","77","Male","M",27726,626503,4425.5
"Total","2011","2011","77 years","77",,,53114,1430790,3712.2
,"2011","2011","78 years","78","Female","F",27299,792306,3445.5
,"2011","2011","78 years","78","Male","M",29262,602268,4858.6
"Total","2011","2011","78 years","78",,,56561,1394574,4055.8
,"2011","2011","79 years","79","Female","F",29619,771294,3840.2
,"2011","2011","79 years","79","Male","M",30564,572793,5336.0
"Total","2011","2011","79 years","79",,,60183,1344087,4477.6
,"2011","2011","80 years","80","Female","F",32159,750626,4284.3
,"2011","2011","80 years","80","Male","M",32434,542585,5977.7
"Total","2011","2011","80 years","80",,,64593,1293211,4994.8
,"2011","2011","81 years","81","Female","F",34935,737051,4739.8
,"2011","2011","81 years","81","Male","M",33738,516296,6534.6
"Total","2011","2011","81 years","81",,,68673,1253347,5479.2
,"2011","2011","82 years","82","Female","F",36429,681888,5342.4
,"2011","2011","82 years","82","Male","M",34067,463352,7352.3
"Total","2011","2011","82 years","82",,,70496,1145240,6155.6
,"2011","2011","83 years","83","Female","F",39109,657980,5943.8
,"2011","2011","83 years","83","Male","M",35081,429120,8175.1
"Total","2011","2011","83 years","83",,,74190,1087100,6824.6
,"2011","2011","84 years","84","Female","F",40995,618703,6626.0
,"2011","2011","84 years","84","Male","M",35002,388942,8999.3
"Total","2011","2011","84 years","84",,,75997,1007645,7542.0
,"2011","2011","85 years","85","Female","F",42802,Not Applicable,Not Applicable
,"2011","2011","85 years","85","Male","M",34405,Not Applicable,Not Applicable
"Total","2011","2011","85 years","85",,,77207,Not Applicable,Not Applicable
,"2011","2011","86 years","86","Female","F",44784,Not Applicable,Not Applicable
,"2011","2011","86 years","86","Male","M",33626,Not Applicable,Not Applicable
"Total","2011","2011","86 years","86",,,78410,Not Applicable,Not Applicable
,"2011","2011","87 years","87","Female","F",45626,Not Applicable,Not Applicable
,"2011","2011","87 years","87","Male","M",32653,Not Applicable,Not Applicable
"Total","2011","2011","87 years","87",,,78279,Not Applicable,Not Applicable
,"2011","2011","88 years","88","Female","F",45059,Not Applicable,Not Applicable
,"2011","2011","88 years","88","Male","M",30358,Not Applicable,Not Applicable
"Total","2011","2011","88 years","88",,,75417,Not Applicable,Not Applicable
,"2011","2011","89 years","89","Female","F",45776,Not Applicable,Not Applicable
,"2011","2011","89 years","89","Male","M",28823,Not Applicable,Not Applicable
"Total","2011","2011","89 years","89",,,74599,Not Applicable,Not Applicable
,"2011","2011","90 years","90","Female","F",43922,Not Applicable,Not Applicable
,"2011","2011","90 years","90","Male","M",26069,Not Applicable,Not Applicable
"Total","2011","2011","90 years","90",,,69991,Not Applicable,Not Applicable
,"2011","2011","91 years","91","Female","F",40280,Not Applicable,Not Applicable
,"2011","2011","91 years","91","Male","M",22511,Not Applicable,Not Applicable
"Total","2011","2011","91 years","91",,,62791,Not Applicable,Not Applicable
,"2011","2011","92 years","92","Female","F",35454,Not Applicable,Not Applicable
,"2011","2011","92 years","92","Male","M",18351,Not Applicable,Not Applicable
"Total","2011","2011","92 years","92",,,53805,Not Applicable,Not Applicable
,"2011","2011","93 years","93","Female","F",32438,Not Applicable,Not Applicable
,"2011","2011","93 years","93","Male","M",15295,Not Applicable,Not Applicable
"Total","2011","2011","93 years","93",,,47733,Not Applicable,Not Applicable
,"2011","2011","94 years","94","Female","F",27745,Not Applicable,Not Applicable
,"2011","2011","94 years","94","Male","M",12148,Not Applicable,Not Applicable
"Total","2011","2011","94 years","94",,,39893,Not Applicable,Not Applicable
,"2011","2011","95 years","95","Female","F",24108,Not Applicable,Not Applicable
,"2011","2011","95 years","95","Male","M",9303,Not Applicable,Not Applicable
"Total","2011","2011","95 years","95",,,33411,Not Applicable,Not Applicable
,"2011","2011","96 years","96","Female","F",20197,Not Applicable,Not Applicable
,"2011","2011","96 years","96","Male","M",7136,Not Applicable,Not Applicable
"Total","2011","2011","96 years","96",,,27333,Not Applicable,Not Applicable
,"2011","2011","97 years","97","Female","F",16270,Not Applicable,Not Applicable
,"2011","2011","97 years","97","Male","M",5147,Not Applicable,Not Applicable
"Total","2011","2011","97 years","97",,,21417,Not Applicable,Not Applicable
,"2011","2011","98 years","98","Female","F",12398,Not Applicable,Not Applicable
,"2011","2011","98 years","98","Male","M",3460,Not Applicable,Not Applicable
"Total","2011","2011","98 years","98",,,15858,Not Applicable,Not Applicable
,"2011","2011","99 years","99","Female","F",9190,Not Applicable,Not Applicable
,"2011","2011","99 years","99","Male","M",2401,Not Applicable,Not Applicable
"Total","2011","2011","99 years","99",,,11591,Not Applicable,Not Applicable
,"2011","2011","100+ years","100","Female","F",19071,Not Applicable,Not Applicable
,"2011","2011","100+ years","100","Male","M",3739,Not Applicable,Not Applicable
"Total","2011","2011","100+ years","100",,,22810,Not Applicable,Not Applicable
,"2011","2011","Not Stated","NS","Female","F",35,Not Applicable,Not Applicable
,"2011","2011","Not Stated","NS","Male","M",99,Not Applicable,Not Applicable
"Total","2011","2011","Not Stated","NS",,,134,Not Applicable,Not Applicable
"Total","2011","2011",,,,,2515458,311591917,807.3
,"2012","2012","< 1 year","0","Female","F",10490,1926339,544.6
,"2012","2012","< 1 year","0","Male","M",13139,2016738,651.5
"Total","2012","2012","< 1 year","0",,,23629,3943077,599.3
,"2012","2012","1 year","1","Female","F",727,1946097,37.4
,"2012","2012","1 year","1","Male","M",900,2035426,44.2
"Total","2012","2012","1 year","1",,,1627,3981523,40.9
,"2012","2012","2 years","2","Female","F",459,1948274,23.6
,"2012","2012","2 years","2","Male","M",620,2031683,30.5
"Total","2012","2012","2 years","2",,,1079,3979957,27.1
,"2012","2012","3 years","3","Female","F",359,1949929,18.4
,"2012","2012","3 years","3","Male","M",461,2032511,22.7
"Total","2012","2012","3 years","3",,,820,3982440,20.6
,"2012","2012","4 years","4","Female","F",278,2012570,13.8
,"2012","2012","4 years","4","Male","M",414,2099777,19.7
"Total","2012","2012","4 years","4",,,692,4112347,16.8
,"2012","2012","5 years","5","Female","F",248,2020709,12.3
,"2012","2012","5 years","5","Male","M",299,2112038,14.2
"Total","2012","2012","5 years","5",,,547,4132747,13.2
,"2012","2012","6 years","6","Female","F",203,2003493,10.1
,"2012","2012","6 years","6","Male","M",243,2095221,11.6
"Total","2012","2012","6 years","6",,,446,4098714,10.9
,"2012","2012","7 years","7","Female","F",173,1998409,8.7
,"2012","2012","7 years","7","Male","M",288,2087555,13.8
"Total","2012","2012","7 years","7",,,461,4085964,11.3
,"2012","2012","8 years","8","Female","F",188,2003830,9.4
,"2012","2012","8 years","8","Male","M",239,2090344,11.4
"Total","2012","2012","8 years","8",,,427,4094174,10.4
,"2012","2012","9 years","9","Female","F",202,1989902,10.2
,"2012","2012","9 years","9","Male","M",251,2074035,12.1
"Total","2012","2012","9 years","9",,,453,4063937,11.1
,"2012","2012","10 years","10","Female","F",191,1980794,9.6
,"2012","2012","10 years","10","Male","M",249,2064925,12.1
"Total","2012","2012","10 years","10",,,440,4045719,10.9
,"2012","2012","11 years","11","Female","F",200,2027606,9.9
,"2012","2012","11 years","11","Male","M",271,2117428,12.8
"Total","2012","2012","11 years","11",,,471,4145034,11.4
,"2012","2012","12 years","12","Female","F",209,2053985,10.2
,"2012","2012","12 years","12","Male","M",301,2152954,14.0
"Total","2012","2012","12 years","12",,,510,4206939,12.1
,"2012","2012","13 years","13","Female","F",243,2020062,12.0
,"2012","2012","13 years","13","Male","M",379,2116190,17.9
"Total","2012","2012","13 years","13",,,622,4136252,15.0
,"2012","2012","14 years","14","Female","F",307,2019557,15.2
,"2012","2012","14 years","14","Male","M",516,2115717,24.4
"Total","2012","2012","14 years","14",,,823,4135274,19.9
,"2012","2012","15 years","15","Female","F",392,2025654,19.4
,"2012","2012","15 years","15","Male","M",696,2118360,32.9
"Total","2012","2012","15 years","15",,,1088,4144014,26.3
,"2012","2012","16 years","16","Female","F",497,2035449,24.4
,"2012","2012","16 years","16","Male","M",962,2138825,45.0
"Total","2012","2012","16 years","16",,,1459,4174274,35.0
,"2012","2012","17 years","17","Female","F",520,2075821,25.1
,"2012","2012","17 years","17","Male","M",1319,2189881,60.2
"Total","2012","2012","17 years","17",,,1839,4265702,43.1
,"2012","2012","18 years","18","Female","F",701,2116371,33.1
,"2012","2012","18 years","18","Male","M",1971,2237646,88.1
"Total","2012","2012","18 years","18",,,2672,4354017,61.4
,"2012","2012","19 years","19","Female","F",740,2144546,34.5
,"2012","2012","19 years","19","Male","M",2276,2278149,99.9
"Total","2012","2012","19 years","19",,,3016,4422695,68.2
,"2012","2012","20 years","20","Female","F",856,2208792,38.8
,"2012","2012","20 years","20","Male","M",2553,2334982,109.3
"Total","2012","2012","20 years","20",,,3409,4543774,75.0
,"2012","2012","21 years","21","Female","F",938,2261030,41.5
,"2012","2012","21 years","21","Male","M",2857,2366479,120.7
"Total","2012","2012","21 years","21",,,3795,4627509,82.0
,"2012","2012","22 years","22","Female","F",1009,2261968,44.6
,"2012","2012","22 years","22","Male","M",3086,2361771,130.7
"Total","2012","2012","22 years","22",,,4095,4623739,88.6
,"2012","2012","23 years","23","Female","F",1009,2173970,46.4
,"2012","2012","23 years","23","Male","M",2830,2269569,124.7
"Total","2012","2012","23 years","23",,,3839,4443539,86.4
,"2012","2012","24 years","24","Female","F",1064,2127987,50.0
,"2012","2012","24 years","24","Male","M",2906,2216655,131.1
"Total","2012","2012","24 years","24",,,3970,4344642,91.4
,"2012","2012","25 years","25","Female","F",1066,2095941,50.9
,"2012","2012","25 years","25","Male","M",2891,2179197,132.7
"Total","2012","2012","25 years","25",,,3957,4275138,92.6
,"2012","2012","26 years","26","Female","F",1144,2111487,54.2
,"2012","2012","26 years","26","Male","M",2983,2187301,136.4
"Total","2012","2012","26 years","26",,,4127,4298788,96.0
,"2012","2012","27 years","27","Female","F",1167,2139336,54.5
,"2012","2012","27 years","27","Male","M",2948,2200238,134.0
"Total","2012","2012","27 years","27",,,4115,4339574,94.8
,"2012","2012","28 years","28","Female","F",1294,2083043,62.1
,"2012","2012","28 years","28","Male","M",2990,2123571,140.8
"Total","2012","2012","28 years","28",,,4284,4206614,101.8
,"2012","2012","29 years","29","Female","F",1370,2123633,64.5
,"2012","2012","29 years","29","Male","M",3139,2154579,145.7
"Total","2012","2012","29 years","29",,,4509,4278212,105.4
,"2012","2012","30 years","30","Female","F",1497,2131196,70.2
,"2012","2012","30 years","30","Male","M",3089,2152214,143.5
"Total","2012","2012","30 years","30",,,4586,4283410,107.1
,"2012","2012","31 years","31","Female","F",1486,2114263,70.3
,"2012","2012","31 years","31","Male","M",3208,2127915,150.8
"Total","2012","2012","31 years","31",,,4694,4242178,110.7
,"2012","2012","32 years","32","Female","F",1507,2151063,70.1
,"2012","2012","32 years","32","Male","M",3159,2180995,144.8
"Total","2012","2012","32 years","32",,,4666,4332058,107.7
,"2012","2012","33 years","33","Female","F",1639,2028414,80.8
,"2012","2012","33 years","33","Male","M",3189,2037148,156.5
"Total","2012","2012","33 years","33",,,4828,4065562,118.8
,"2012","2012","34 years","34","Female","F",1638,1992153,82.2
,"2012","2012","34 years","34","Male","M",3187,1995634,159.7
"Total","2012","2012","34 years","34",,,4825,3987787,121.0
,"2012","2012","35 years","35","Female","F",1783,1978944,90.1
,"2012","2012","35 years","35","Male","M",3228,1971623,163.7
"Total","2012","2012","35 years","35",,,5011,3950567,126.8
,"2012","2012","36 years","36","Female","F",1833,1920986,95.4
,"2012","2012","36 years","36","Male","M",3339,1915483,174.3
"Total","2012","2012","36 years","36",,,5172,3836469,134.8
,"2012","2012","37 years","37","Female","F",1923,1979730,97.1
,"2012","2012","37 years","37","Male","M",3481,1979762,175.8
"Total","2012","2012","37 years","37",,,5404,3959492,136.5
,"2012","2012","38 years","38","Female","F",2096,1927815,108.7
,"2012","2012","38 years","38","Male","M",3526,1911189,184.5
"Total","2012","2012","38 years","38",,,5622,3839004,146.4
,"2012","2012","39 years","39","Female","F",2369,1966111,120.5
,"2012","2012","39 years","39","Male","M",3794,1936556,195.9
"Total","2012","2012","39 years","39",,,6163,3902667,157.9
,"2012","2012","40 years","40","Female","F",2654,2055091,129.1
,"2012","2012","40 years","40","Male","M",4355,2029390,214.6
"Total","2012","2012","40 years","40",,,7009,4084481,171.6
,"2012","2012","41 years","41","Female","F",3036,2177317,139.4
,"2012","2012","41 years","41","Male","M",4888,2147646,227.6
"Total","2012","2012","41 years","41",,,7924,4324963,183.2
,"2012","2012","42 years","42","Female","F",3295,2198171,149.9
,"2012","2012","42 years","42","Male","M",5142,2185851,235.2
"Total","2012","2012","42 years","42",,,8437,4384022,192.4
,"2012","2012","43 years","43","Female","F",3508,2089016,167.9
,"2012","2012","43 years","43","Male","M",5398,2069535,260.8
"Total","2012","2012","43 years","43",,,8906,4158551,214.2
,"2012","2012","44 years","44","Female","F",3736,2049632,182.3
,"2012","2012","44 years","44","Male","M",5778,2026572,285.1
"Total","2012","2012","44 years","44",,,9514,4076204,233.4
,"2012","2012","45 years","45","Female","F",4176,2060421,202.7
,"2012","2012","45 years","45","Male","M",6260,2024091,309.3
"Total","2012","2012","45 years","45",,,10436,4084512,255.5
,"2012","2012","46 years","46","Female","F",4666,2100030,222.2
,"2012","2012","46 years","46","Male","M",7167,2065705,347.0
"Total","2012","2012","46 years","46",,,11833,4165735,284.1
,"2012","2012","47 years","47","Female","F",5404,2230790,242.2
,"2012","2012","47 years","47","Male","M",8320,2190557,379.8
"Total","2012","2012","47 years","47",,,13724,4421347,310.4
,"2012","2012","48 years","48","Female","F",6159,2283327,269.7
,"2012","2012","48 years","48","Male","M",9404,2224991,422.7
"Total","2012","2012","48 years","48",,,15563,4508318,345.2
,"2012","2012","49 years","49","Female","F",6687,2288286,292.2
,"2012","2012","49 years","49","Male","M",10236,2221281,460.8
"Total","2012","2012","49 years","49",,,16923,4509567,375.3
,"2012","2012","50 years","50","Female","F",7385,2288813,322.7
,"2012","2012","50 years","50","Male","M",11516,2216795,519.5
"Total","2012","2012","50 years","50",,,18901,4505608,419.5
,"2012","2012","51 years","51","Female","F",8173,2324789,351.6
,"2012","2012","51 years","51","Male","M",12718,2241462,567.4
"Total","2012","2012","51 years","51",,,20891,4566251,457.5
,"2012","2012","52 years","52","Female","F",8648,2342152,369.2
,"2012","2012","52 years","52","Male","M",13670,2267371,602.9
"Total","2012","2012","52 years","52",,,22318,4609523,484.2
,"2012","2012","53 years","53","Female","F",9119,2275082,400.8
,"2012","2012","53 years","53","Male","M",14419,2184843,660.0
"Total","2012","2012","53 years","53",,,23538,4459925,527.8
,"2012","2012","54 years","54","Female","F",9832,2268178,433.5
,"2012","2012","54 years","54","Male","M",15504,2169774,714.5
"Total","2012","2012","54 years","54",,,25336,4437952,570.9
,"2012","2012","55 years","55","Female","F",10465,2251970,464.7
,"2012","2012","55 years","55","Male","M",16982,2141280,793.1
"Total","2012","2012","55 years","55",,,27447,4393250,624.8
,"2012","2012","56 years","56","Female","F",11110,2179804,509.7
,"2012","2012","56 years","56","Male","M",17497,2060591,849.1
"Total","2012","2012","56 years","56",,,28607,4240395,674.6
,"2012","2012","57 years","57","Female","F",11452,2165714,528.8
,"2012","2012","57 years","57","Male","M",18287,2041891,895.6
"Total","2012","2012","57 years","57",,,29739,4207605,706.8
,"2012","2012","58 years","58","Female","F",11875,2089942,568.2
,"2012","2012","58 years","58","Male","M",19214,1950176,985.2
"Total","2012","2012","58 years","58",,,31089,4040118,769.5
,"2012","2012","59 years","59","Female","F",12333,2016678,611.6
,"2012","2012","59 years","59","Male","M",19763,1874471,1054.3
"Total","2012","2012","59 years","59",,,32096,3891149,824.8
,"2012","2012","60 years","60","Female","F",12860,1942997,661.9
,"2012","2012","60 years","60","Male","M",20375,1802492,1130.4
"Total","2012","2012","60 years","60",,,33235,3745489,887.3
,"2012","2012","61 years","61","Female","F",13443,1893029,710.1
,"2012","2012","61 years","61","Male","M",20848,1742427,1196.5
"Total","2012","2012","61 years","61",,,34291,3635456,943.2
,"2012","2012","62 years","62","Female","F",13856,1851190,748.5
,"2012","2012","62 years","62","Male","M",21706,1703249,1274.4
"Total","2012","2012","62 years","62",,,35562,3554439,1000.5
,"2012","2012","63 years","63","Female","F",15102,1803760,837.3
,"2012","2012","63 years","63","Male","M",22438,1650927,1359.1
"Total","2012","2012","63 years","63",,,37540,3454687,1086.6
,"2012","2012","64 years","64","Female","F",16159,1788224,903.6
,"2012","2012","64 years","64","Male","M",23841,1635390,1457.8
"Total","2012","2012","64 years","64",,,40000,3423614,1168.4
,"2012","2012","65 years","65","Female","F",17897,1866012,959.1
,"2012","2012","65 years","65","Male","M",25435,1704827,1491.9
"Total","2012","2012","65 years","65",,,43332,3570839,1213.5
,"2012","2012","66 years","66","Female","F",15381,1388112,1108.1
,"2012","2012","66 years","66","Male","M",21560,1252872,1720.8
"Total","2012","2012","66 years","66",,,36941,2640984,1398.8
,"2012","2012","67 years","67","Female","F",15983,1377451,1160.3
,"2012","2012","67 years","67","Male","M",22227,1231618,1804.7
"Total","2012","2012","67 years","67",,,38210,2609069,1464.5
,"2012","2012","68 years","68","Female","F",17908,1350715,1325.8
